"lon","lat","x","y","UE","UN"
-118.17,34.205,3.9221e+05,3.7855e+06,-25.52,23.66
-116.98,32.569,5.0188e+05,3.6035e+06,-27.08,29.71
-116.84,32.601,5.1501e+05,3.6071e+06,-25.7,28.82
-116.56,32.245,5.4145e+05,3.5677e+06,-27.4,29.04
-115.66,32.204,6.2629e+05,3.5638e+06,-25.88,28.54
-115.87,32.309,6.0638e+05,3.5752e+06,-26.66,28.68
-115.43,32.222,6.4794e+05,3.5661e+06,-24.66,27.46
-116.48,32.607,5.4879e+05,3.6078e+06,-26.97,28.66
-115.92,32.451,6.0151e+05,3.5909e+06,-25.89,28.92
-115.46,32.377,6.4487e+05,3.5833e+06,-22.23,28.04
-115.34,32.356,6.562e+05,3.5811e+06,-18.66,27
-115.56,32.454,6.3535e+05,3.5917e+06,-22.49,29.27
-117.15,32.818,4.8596e+05,3.6311e+06,-28.21,28.81
-117.25,32.84,4.766e+05,3.6336e+06,-27.25,29.69
-117.25,32.865,4.7661e+05,3.6363e+06,-27.41,28.21
-117.25,32.867,4.7661e+05,3.6366e+06,-28.39,29.83
-116.8,32.844,5.1872e+05,3.634e+06,-27.02,28.21
-116.93,32.912,5.0655e+05,3.6415e+06,-27.25,29.47
-117.28,33.13,4.7388e+05,3.6657e+06,-28.16,29.78
-116.16,32.698,5.7874e+05,3.6181e+06,-26.38,29.17
-116.62,32.824,5.3557e+05,3.6318e+06,-26.28,28.06
-116.43,32.84,5.5334e+05,3.6337e+06,-26.03,28.34
-115.93,32.632,6.0037e+05,3.611e+06,-25.74,29.54
-115.88,32.675,6.0501e+05,3.6158e+06,-26.73,23.83
-115.73,32.648,6.1911e+05,3.613e+06,-23.17,30.4
-116,32.734,5.937e+05,3.6222e+06,-27.03,27.91
-115.51,32.664,6.3972e+05,3.615e+06,-20.11,26.01
-115.5,32.738,6.4054e+05,3.6232e+06,-20.13,20.38
-115.8,32.79,6.1237e+05,3.6286e+06,-23.79,26.76
-115.8,32.791,6.1237e+05,3.6288e+06,-25.01,28.18
-116.02,32.825,5.9173e+05,3.6323e+06,-25.27,27.34
-115.59,32.8,6.3202e+05,3.63e+06,-16.11,21.74
-115.4,32.781,6.4984e+05,3.6281e+06,-3.81,9.19
-115.5,32.827,6.404e+05,3.6331e+06,-13.35,19.39
-116.57,32.914,5.4021e+05,3.6418e+06,-28.62,28.4
-116.42,32.892,5.5425e+05,3.6395e+06,-26.91,27.52
-116.42,32.892,5.5425e+05,3.6395e+06,-26.34,28.31
-116.29,32.915,5.6639e+05,3.6421e+06,-25.68,27.36
-116.6,33.074,5.3734e+05,3.6596e+06,-26.85,27.5
-116.48,33.051,5.4855e+05,3.6571e+06,-25.31,27.4
-116.41,33.039,5.5509e+05,3.6558e+06,-26.27,24.5
-116.58,33.102,5.3919e+05,3.6627e+06,-24.46,27.86
-116.18,33.045,5.7656e+05,3.6566e+06,-23.97,26.2
-116.09,33.03,5.8498e+05,3.655e+06,-22.07,23.89
-116.28,33.102,5.6718e+05,3.6628e+06,-23.63,24.74
-116.11,33.131,5.8302e+05,3.6662e+06,-21.72,23.27
-115.76,32.951,6.159e+05,3.6465e+06,-21.77,25.21
-115.98,32.982,5.9531e+05,3.6498e+06,-23.83,25.97
-115.83,32.955,6.0936e+05,3.6469e+06,-23.73,24.79
