"lon","lat","x","y"
-125.27,41.999,-1.8516e+05,4.6829e+06
NaN,NaN,NaN,NaN
-125.03,42.018,-1.6506e+05,4.6831e+06
-125.03,42.007,-1.6518e+05,4.6819e+06
NaN,NaN,NaN,NaN
-124.96,42.015,-1.5929e+05,4.6822e+06
-124.96,42.005,-1.594e+05,4.6811e+06
NaN,NaN,NaN,NaN
-125.17,42.003,-1.7683e+05,4.6825e+06
-125.17,41.997,-1.7689e+05,4.6818e+06
-125.17,41.992,-1.7694e+05,4.6813e+06
NaN,NaN,NaN,NaN
-125.27,41.994,-1.8521e+05,4.6823e+06
-125.27,41.99,-1.8526e+05,4.6819e+06
-125.27,41.985,-1.8531e+05,4.6813e+06
-125.27,41.984,-1.8532e+05,4.6812e+06
NaN,NaN,NaN,NaN
-125.03,42.003,-1.6522e+05,4.6814e+06
-125.03,41.992,-1.6534e+05,4.6802e+06
NaN,NaN,NaN,NaN
-124.88,42.007,-1.5274e+05,4.6807e+06
-124.87,42.001,-1.5198e+05,4.6799e+06
NaN,NaN,NaN,NaN
-124.96,41.999,-1.5946e+05,4.6804e+06
-124.96,41.994,-1.5951e+05,4.6799e+06
-124.96,41.989,-1.5956e+05,4.6793e+06
NaN,NaN,NaN,NaN
-125.17,41.987,-1.77e+05,4.6807e+06
-125.17,41.976,-1.7711e+05,4.6795e+06
NaN,NaN,NaN,NaN
-124.87,41.996,-1.5203e+05,4.6794e+06
-124.87,41.986,-1.5213e+05,4.6783e+06
NaN,NaN,NaN,NaN
-125.27,41.98,-1.8536e+05,4.6808e+06
-125.26,41.974,-1.846e+05,4.68e+06
-125.26,41.971,-1.8463e+05,4.6797e+06
-125.26,41.969,-1.8465e+05,4.6795e+06
NaN,NaN,NaN,NaN
-125.03,41.987,-1.6539e+05,4.6796e+06
-125.03,41.977,-1.6549e+05,4.6785e+06
NaN,NaN,NaN,NaN
-124.96,41.984,-1.5961e+05,4.6788e+06
-124.96,41.973,-1.5973e+05,4.6775e+06
NaN,NaN,NaN,NaN
-125.17,41.971,-1.7717e+05,4.679e+06
-125.17,41.96,-1.7728e+05,4.6777e+06
NaN,NaN,NaN,NaN
-125.26,41.966,-1.8469e+05,4.6791e+06
-125.25,41.956,-1.8396e+05,4.6779e+06
NaN,NaN,NaN,NaN
-124.87,41.981,-1.5218e+05,4.6777e+06
-124.87,41.974,-1.5225e+05,4.6769e+06
NaN,NaN,NaN,NaN
-125.03,41.971,-1.6556e+05,4.6779e+06
-125.02,41.961,-1.6483e+05,4.6767e+06
-125.02,41.96,-1.6484e+05,4.6766e+06
NaN,NaN,NaN,NaN
-124.96,41.968,-1.5978e+05,4.677e+06
-124.96,41.964,-1.5982e+05,4.6765e+06
-124.97,41.957,-1.6073e+05,4.6758e+06
NaN,NaN,NaN,NaN
-125.17,41.956,-1.7733e+05,4.6773e+06
-125.17,41.946,-1.7743e+05,4.6762e+06
NaN,NaN,NaN,NaN
-125.25,41.952,-1.8401e+05,4.6775e+06
-125.24,41.943,-1.8327e+05,4.6764e+06
-125.24,41.942,-1.8329e+05,4.6763e+06
NaN,NaN,NaN,NaN
-125.02,41.956,-1.6488e+05,4.6761e+06
-125.02,41.944,-1.6501e+05,4.6748e+06
NaN,NaN,NaN,NaN
-124.97,41.953,-1.6077e+05,4.6754e+06
-124.97,41.94,-1.609e+05,4.6739e+06
NaN,NaN,NaN,NaN
-124.86,41.954,-1.5163e+05,4.6746e+06
-124.86,41.94,-1.5177e+05,4.6731e+06
NaN,NaN,NaN,NaN
-125.24,41.937,-1.8334e+05,4.6757e+06
-125.24,41.931,-1.834e+05,4.6751e+06
-125.24,41.928,-1.8344e+05,4.6747e+06
-125.23,41.927,-1.8262e+05,4.6745e+06
NaN,NaN,NaN,NaN
-125.02,41.939,-1.6506e+05,4.6742e+06
-125.02,41.931,-1.6515e+05,4.6733e+06
-125.02,41.928,-1.6518e+05,4.673e+06
NaN,NaN,NaN,NaN
-124.5,41.956,-1.2175e+05,4.6722e+06
-124.49,41.944,-1.2104e+05,4.6708e+06
NaN,NaN,NaN,NaN
-124.96,41.935,-1.6012e+05,4.6733e+06
-124.96,41.925,-1.6023e+05,4.6722e+06
NaN,NaN,NaN,NaN
-125.23,41.923,-1.8266e+05,4.6741e+06
-125.22,41.909,-1.8198e+05,4.6725e+06
NaN,NaN,NaN,NaN
-124.86,41.935,-1.5183e+05,4.6725e+06
-124.86,41.925,-1.5193e+05,4.6714e+06
NaN,NaN,NaN,NaN
-125.01,41.925,-1.6438e+05,4.6726e+06
-125.01,41.913,-1.645e+05,4.6713e+06
NaN,NaN,NaN,NaN
-124.48,41.941,-1.2023e+05,4.6704e+06
-124.47,41.932,-1.1949e+05,4.6693e+06
NaN,NaN,NaN,NaN
-124.96,41.919,-1.6029e+05,4.6715e+06
-124.96,41.909,-1.6039e+05,4.6704e+06
NaN,NaN,NaN,NaN
-124.86,41.92,-1.5198e+05,4.6709e+06
-124.86,41.909,-1.5209e+05,4.6696e+06
NaN,NaN,NaN,NaN
-125.14,41.905,-1.7538e+05,4.6714e+06
-125.13,41.893,-1.7468e+05,4.67e+06
NaN,NaN,NaN,NaN
-125.01,41.909,-1.6455e+05,4.6708e+06
-125.01,41.902,-1.6462e+05,4.67e+06
-125,41.899,-1.6382e+05,4.6696e+06
NaN,NaN,NaN,NaN
-124.47,41.929,-1.1952e+05,4.669e+06
-124.46,41.92,-1.1878e+05,4.6679e+06
NaN,NaN,NaN,NaN
-125.08,41.9,-1.7045e+05,4.6704e+06
-125.08,41.894,-1.7051e+05,4.6697e+06
-125.08,41.89,-1.7056e+05,4.6692e+06
NaN,NaN,NaN,NaN
-124.96,41.905,-1.6044e+05,4.67e+06
-124.96,41.897,-1.6052e+05,4.6691e+06
-124.96,41.894,-1.6055e+05,4.6688e+06
NaN,NaN,NaN,NaN
-125.16,41.893,-1.7717e+05,4.6702e+06
-125.16,41.879,-1.7732e+05,4.6687e+06
NaN,NaN,NaN,NaN
-124.86,41.904,-1.5214e+05,4.6691e+06
-124.86,41.894,-1.5225e+05,4.668e+06
NaN,NaN,NaN,NaN
-125,41.895,-1.6386e+05,4.6692e+06
-125,41.886,-1.6395e+05,4.6682e+06
NaN,NaN,NaN,NaN
-124.46,41.916,-1.1882e+05,4.6674e+06
-124.45,41.904,-1.1811e+05,4.666e+06
NaN,NaN,NaN,NaN
-125.13,41.888,-1.7473e+05,4.6694e+06
-125.13,41.878,-1.7484e+05,4.6683e+06
NaN,NaN,NaN,NaN
-125.08,41.886,-1.706e+05,4.6688e+06
-125.08,41.875,-1.7071e+05,4.6676e+06
NaN,NaN,NaN,NaN
-124.95,41.889,-1.5977e+05,4.6681e+06
-124.95,41.88,-1.5986e+05,4.6671e+06
-124.95,41.879,-1.5987e+05,4.667e+06
NaN,NaN,NaN,NaN
-124.86,41.888,-1.5231e+05,4.6673e+06
-124.86,41.878,-1.5241e+05,4.6662e+06
NaN,NaN,NaN,NaN
-124.99,41.882,-1.6317e+05,4.6677e+06
-124.99,41.881,-1.6318e+05,4.6675e+06
-124.99,41.88,-1.6319e+05,4.6674e+06
-124.99,41.877,-1.6322e+05,4.6671e+06
-124.98,41.87,-1.6246e+05,4.6662e+06
NaN,NaN,NaN,NaN
-125.16,41.874,-1.7737e+05,4.6681e+06
-125.15,41.863,-1.7666e+05,4.6668e+06
NaN,NaN,NaN,NaN
-124.45,41.9,-1.1814e+05,4.6656e+06
-124.44,41.894,-1.1737e+05,4.6649e+06
-124.44,41.89,-1.1741e+05,4.6644e+06
NaN,NaN,NaN,NaN
-125.13,41.872,-1.749e+05,4.6676e+06
-125.13,41.867,-1.7495e+05,4.6671e+06
-125.13,41.861,-1.7502e+05,4.6664e+06
NaN,NaN,NaN,NaN
-125.08,41.87,-1.7077e+05,4.667e+06
-125.08,41.865,-1.7082e+05,4.6665e+06
-125.08,41.856,-1.7091e+05,4.6655e+06
NaN,NaN,NaN,NaN
-124.95,41.875,-1.5992e+05,4.6666e+06
-124.94,41.864,-1.592e+05,4.6653e+06
NaN,NaN,NaN,NaN
-124.86,41.872,-1.5247e+05,4.6655e+06
-124.86,41.861,-1.5258e+05,4.6643e+06
NaN,NaN,NaN,NaN
-125.15,41.858,-1.7671e+05,4.6662e+06
-125.15,41.848,-1.7682e+05,4.6651e+06
NaN,NaN,NaN,NaN
-124.44,41.885,-1.1746e+05,4.6639e+06
-124.43,41.876,-1.1672e+05,4.6628e+06
-124.43,41.875,-1.1673e+05,4.6627e+06
NaN,NaN,NaN,NaN
-125.13,41.856,-1.7507e+05,4.6659e+06
-125.13,41.843,-1.7521e+05,4.6644e+06
-125.13,41.842,-1.7522e+05,4.6643e+06
NaN,NaN,NaN,NaN
-124.94,41.86,-1.5924e+05,4.6648e+06
-124.94,41.849,-1.5935e+05,4.6636e+06
NaN,NaN,NaN,NaN
-124.43,41.871,-1.1676e+05,4.6622e+06
-124.43,41.861,-1.1686e+05,4.6611e+06
NaN,NaN,NaN,NaN
-125.15,41.842,-1.7688e+05,4.6645e+06
-125.15,41.827,-1.7704e+05,4.6628e+06
NaN,NaN,NaN,NaN
-124.94,41.845,-1.594e+05,4.6632e+06
-124.93,41.841,-1.5861e+05,4.6626e+06
-124.93,41.834,-1.5868e+05,4.6619e+06
NaN,NaN,NaN,NaN
-124.42,41.856,-1.1608e+05,4.6605e+06
-124.42,41.846,-1.1617e+05,4.6594e+06
NaN,NaN,NaN,NaN
-124.42,41.842,-1.1621e+05,4.6589e+06
-124.41,41.832,-1.1548e+05,4.6577e+06
-124.41,41.83,-1.155e+05,4.6575e+06
NaN,NaN,NaN,NaN
-124.41,41.826,-1.1554e+05,4.6571e+06
-124.4,41.816,-1.148e+05,4.6559e+06
NaN,NaN,NaN,NaN
-124.93,41.801,-1.5902e+05,4.6582e+06
-124.93,41.797,-1.5906e+05,4.6577e+06
-124.93,41.788,-1.5915e+05,4.6567e+06
NaN,NaN,NaN,NaN
-124.4,41.812,-1.1484e+05,4.6555e+06
-124.39,41.803,-1.141e+05,4.6544e+06
NaN,NaN,NaN,NaN
-124.93,41.783,-1.592e+05,4.6562e+06
-124.93,41.773,-1.5931e+05,4.6551e+06
NaN,NaN,NaN,NaN
-124.98,41.779,-1.6341e+05,4.6561e+06
-124.97,41.774,-1.6263e+05,4.6555e+06
NaN,NaN,NaN,NaN
-124.39,41.799,-1.1413e+05,4.6539e+06
-124.38,41.789,-1.134e+05,4.6528e+06
NaN,NaN,NaN,NaN
-124.98,41.769,-1.6351e+05,4.655e+06
-124.97,41.759,-1.6278e+05,4.6538e+06
NaN,NaN,NaN,NaN
-124.91,41.769,-1.5769e+05,4.6545e+06
-124.91,41.758,-1.578e+05,4.6533e+06
NaN,NaN,NaN,NaN
-124.93,41.768,-1.5936e+05,4.6545e+06
-124.93,41.757,-1.5947e+05,4.6533e+06
NaN,NaN,NaN,NaN
-124.38,41.786,-1.1343e+05,4.6524e+06
-124.37,41.776,-1.1269e+05,4.6512e+06
NaN,NaN,NaN,NaN
-124.97,41.754,-1.6283e+05,4.6533e+06
